Name,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over,0_to_24,25_to_64,65_and_over
ANG MO KIO,5420,6230,7380,7930,8920,10620,10510,10940,11760,12570,12170,13090,12810,11970,8960,6160,3840,2110,1040,35880,94470,34080
BEDOK,10020,11640,13300,14640,16660,19530,17940,18310,20070,21290,20870,22550,21830,18810,13660,8300,5600,3130,1820,66260,162390,51320
BISHAN,2850,3850,4430,4740,5570,7090,5430,5290,5940,6860,6510,7220,7140,5730,3880,2540,1670,970,520,21440,51480,15310
BOON LAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUKIT BATOK,7130,6640,7800,8800,9850,12510,12480,10600,10690,11680,12010,12450,11590,8560,5020,2930,1820,1020,560,40220,94010,19910
BUKIT MERAH,6100,6650,6640,6380,6850,9140,10550,11050,11830,11780,10790,11100,11270,10370,8310,5990,4190,2220,1390,32620,87510,32470
BUKIT PANJANG,6700,7230,7680,8500,9570,10560,10740,10230,9610,10610,10450,11410,9970,6910,4230,2470,1560,820,450,39680,83580,16440
BUKIT TIMAH,3160,4820,5000,4810,4690,4710,4060,4700,6010,6890,5930,5340,4890,4260,3320,2180,1560,890,500,22480,42530,12710
CENTRAL WATER CATCHMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANGI,130,130,140,110,80,100,140,160,160,170,140,100,100,70,30,30,0,0,0,590,1070,130
CHANGI BAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOA CHU KANG,8980,9150,10410,12770,15980,16220,14040,12960,12690,14610,16710,15680,12070,8160,4630,2780,1800,980,480,57290,114980,18830
CLEMENTI,3960,4310,4610,4550,4700,5430,6080,6990,7280,7460,6640,6540,6250,6460,5070,3130,1970,960,520,22130,52670,18110
DOWNTOWN CORE,80,90,50,70,110,170,270,310,260,270,200,160,140,110,100,30,20,10,50,400,1780,320
GEYLANG,3960,4320,4910,5200,5990,7980,7910,7790,8060,8220,8150,8900,8790,7070,5130,3510,2380,1390,860,24380,65800,20340
HOUGANG,8940,9260,10430,12160,14770,17650,16700,15280,15240,16690,17260,19410,18200,13940,8950,5630,3600,1940,1060,55560,136430,35120
JURONG EAST,2630,3010,3630,4330,4920,5790,5460,5210,5380,5920,5910,6360,6630,5850,3760,2100,1280,690,370,18520,46660,14050
JURONG WEST,11090,13600,15430,16680,17700,19590,18520,20680,21400,21330,20430,19370,17740,13900,8440,4670,2540,1250,650,74500,159060,31450
KALLANG,4030,4190,4230,4430,4700,6140,7040,7450,7870,8230,7430,7770,7690,6870,5260,3760,2550,1380,920,21580,59620,20740
LIM CHU KANG,0,0,0,10,10,0,0,0,0,0,10,20,10,0,10,0,0,0,0,20,40,10
MANDAI,80,90,130,140,170,160,130,130,140,170,170,180,120,90,70,40,30,20,0,610,1200,250
MARINA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINA SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINE PARADE,1860,2430,2450,2400,2410,2490,2430,3170,3800,4130,3510,3350,2990,2630,2290,1640,1290,720,460,11550,25870,9030
MUSEUM,20,30,30,10,0,30,40,50,60,50,40,40,20,10,0,0,0,0,0,90,330,10
